,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,Expected Price ($1k),Year
16055,1,1,200,0,13,65.0,2017
16058,0,1,32,0,38,36.6,2021
16059,1,1,208,0,38,62.0,2015
16062,1,1,210,0,35,65.0,2016
16068,0,2,21,0,20,18.058,2017
16073,1,0,0,0,7,64.0,2022
16074,0,1,33,102000,10,40.0,2012
16077,0,2,14,0,32,36.98,2017
16078,1,0,0,0,44,114.99,2022
16094,1,1,239,0,20,25.0,2019
16097,0,1,38,0,23,18.5,2015
16101,0,1,72,0,20,19.0,2016
16102,1,1,200,0,33,70.0,2016
16113,1,1,82,0,37,12.0,2014
16116,0,2,19,0,16,20.0,2016
16120,0,2,10,0,19,27.3,2017
16132,1,0,0,0,10,31.67,2021
16133,0,1,97,0,9,27.0,2017
16135,0,2,17,52900,41,37.0,2018
16138,0,1,35,0,28,7.0,2011
16145,0,1,53,0,11,21.998,2018
16150,1,1,62,0,42,23.0,2016
16161,0,2,17,52900,48,20.5,2019
16162,0,2,19,0,19,15.0,2014
16171,1,1,208,69900,44,33.89,2013
16192,0,2,25,0,5,40.0,2020
16198,0,1,97,0,10,25.004,2018
16199,1,1,293,0,22,102.0,2020
16206,1,1,111,33950,32,16.251,2018
16216,1,1,87,0,35,10.042,2015
16219,1,0,0,0,27,31.67,2021
16223,1,1,259,0,14,31.5,2020
16235,1,1,192,0,1,119.8,2020
16238,0,2,25,0,1,30.0,2018
16248,0,2,14,0,20,45.0,2016
16251,1,0,0,0,42,24.69,2022
16254,1,0,0,0,17,114.99,2022
16262,0,2,19,0,7,20.0,2016
16265,1,0,0,0,27,35.9,2022
16266,1,1,208,0,33,62.0,2015
16273,0,1,72,0,21,19.0,2016
16279,0,2,22,0,5,25.0,2018
16283,0,2,22,0,49,20.9,2019
16289,1,1,215,0,34,40.0,2020
16290,0,1,32,0,32,36.6,2021
16296,1,1,83,0,18,20.0,2015
16298,0,1,33,0,12,30.0,2018
16299,0,1,42,0,41,54.0,2021
16336,1,1,84,0,38,19.0,2014
16339,1,1,238,0,40,90.0,2018
16344,0,2,18,0,26,53.8,2022
16349,0,2,6,0,22,13.3,2013
16364,1,1,81,0,48,27.0,2017
16374,0,1,31,0,40,37.3,2022
16378,0,2,27,0,22,16.5,2016
16380,1,1,200,0,42,65.0,2017
16386,1,0,0,0,23,0.0,2022
16389,1,1,93,32250,35,15.2,2017
16393,0,2,25,0,35,28.0,2017
16413,0,2,19,0,5,54.0,2020
16418,0,2,29,0,19,23.25,2020
16436,0,2,19,0,41,33.5,2021
16441,1,1,58,0,43,5.499,2014
16442,0,1,38,0,41,16.0,2014
16444,0,2,19,64950,33,46.0,2018
16445,0,2,19,0,20,18.5,2015
16447,1,1,93,32250,45,15.2,2017
16449,1,1,107,0,30,19.0,2017
16451,1,1,58,0,22,5.499,2014
16453,0,2,14,0,28,45.7,2017
16466,0,2,19,0,12,19.0,2016
16475,1,1,330,0,37,105.0,2020
16478,1,0,0,0,34,20.6,2022
16483,0,2,13,0,48,30.152,2016
16484,0,2,19,0,36,79.596,2020
16494,0,1,72,0,17,18.0,2015
16498,0,1,38,0,1,16.0,2014
16505,1,0,0,0,31,38.5,2021
16508,1,1,215,0,1,40.0,2020
16510,1,1,234,0,24,52.9,2019
16523,1,1,76,0,41,14.0,2012
16531,1,1,238,0,21,41.78,2019
16538,0,1,72,0,28,19.0,2016
16541,1,1,83,0,31,20.0,2015
16544,0,2,13,0,23,42.0,2018
16548,1,0,0,0,17,31.67,2021
16553,0,2,19,64950,44,46.0,2018
16555,1,1,308,0,38,50.0,2020
16556,0,2,25,0,33,28.0,2017
16557,0,2,17,52900,44,37.0,2018
16560,0,2,19,0,19,19.0,2016
16561,1,0,0,0,2,96.0,2022
16578,1,1,82,0,28,12.0,2014
16590,1,1,289,0,35,102.0,2020
16591,0,1,53,0,39,26.0,2019
16596,0,2,12,36800,46,22.0,2018
16597,0,2,17,0,24,43.0,2021
16598,0,2,12,36900,18,23.0,2019
16602,1,1,81,0,45,18.0,2015
16620,1,1,222,0,6,51.573,2021
16643,1,1,265,59900,49,33.8,2012
16651,1,1,151,0,19,21.0,2018
16655,0,2,20,0,9,50.0,2021
16661,0,2,14,0,44,36.98,2017
16665,1,0,0,0,23,32.3,2022
16666,0,1,33,0,39,30.0,2018
16671,0,2,19,0,34,18.5,2015
16676,1,1,84,0,33,12.0,2017
16681,0,2,17,0,7,117.4,2019
16693,0,2,17,52900,37,37.0,2018
16703,1,1,239,0,17,33.0,2020
16710,1,1,87,0,5,36.0,2017
16718,0,2,26,28500,30,22.0,2019
16728,0,2,13,0,23,30.152,2016
16736,1,0,0,0,6,38.5,2021
16756,1,1,84,0,43,51.0,2018
16760,0,2,19,0,32,19.0,2016
16789,0,2,17,52900,4,20.5,2019
16795,1,1,149,0,17,40.0,2020
16797,1,1,103,0,46,20.0,2014
16801,1,0,0,0,2,24.69,2022
16807,1,1,238,0,48,22.857,2018
16813,0,2,29,0,18,20.998,2017
16822,0,1,33,0,43,30.0,2018
16824,1,0,0,0,27,24.69,2022
16828,1,1,151,0,29,21.0,2018
16834,1,1,238,0,4,90.0,2018
16845,0,2,20,0,41,43.0,2020
16865,1,0,0,0,10,136.8,2022
16882,1,1,87,0,23,7.0,2013
16883,0,2,6,0,33,16.5,2014
16887,0,2,22,0,12,20.9,2019
16906,0,2,28,0,25,25.0,2019
16917,0,2,21,0,38,51.57,2021
16919,1,1,238,0,9,90.0,2018
16920,0,2,26,0,27,24.69,2022
16926,0,2,14,0,27,73.9,2015
16931,1,1,81,0,21,16.0,2014
16934,1,1,93,32250,29,15.2,2017
16964,1,1,82,0,20,12.0,2014
16965,1,0,0,0,12,42.8,2021
16973,0,2,29,0,18,23.1,2018
16976,0,2,14,0,13,73.9,2015
16992,1,0,0,0,22,32.3,2022
16993,0,1,47,0,18,33.4,2021
16996,0,2,27,0,32,16.5,2016
17000,0,2,17,52900,36,20.5,2019
17001,0,2,12,36900,31,23.0,2019
17012,0,1,53,0,27,21.998,2018
17015,1,0,0,0,29,67.07,2021
17022,0,2,25,0,46,40.0,2020
17026,1,0,0,0,20,24.69,2022
17035,1,1,258,0,27,27.0,2020
17043,1,1,84,0,41,12.0,2017
17045,0,2,17,0,34,45.0,2019
17051,1,0,0,0,34,33.5,2022
17061,0,2,14,45600,18,34.0,2018
17063,0,2,22,0,45,25.0,2018
17068,1,0,0,0,25,31.67,2021
17074,0,2,15,0,17,57.0,2015
17092,1,1,81,0,1,27.0,2017
17093,1,0,0,0,23,60.2,2022
17101,0,2,25,0,3,28.0,2017
17102,1,0,0,0,9,38.5,2021
17106,1,0,0,0,1,96.0,2022
17107,1,0,0,0,1,98.4,2021
17125,0,2,17,52900,48,37.0,2018
17140,1,1,125,0,28,32.0,2017
17149,0,2,13,0,1,42.0,2018
17153,1,0,0,0,21,38.5,2021
17163,1,1,84,0,15,27.0,2016
17172,1,1,192,0,23,98.4,2021
17192,1,1,68,0,23,11.75,2015
17197,0,2,19,0,40,20.0,2016
17203,0,2,21,0,47,18.058,2017
17210,0,2,15,0,1,57.0,2016
17211,1,0,0,0,24,43.0,2021
17216,0,2,14,44100,23,28.0,2017
17226,0,1,33,0,6,30.0,2018
17242,1,1,218,0,40,78.4,2020
17245,0,2,22,0,36,43.912,2020
17246,1,1,149,0,48,40.0,2020
17252,0,2,21,0,46,58.0,2020
17258,0,2,18,0,18,39.0,2021
17269,1,0,0,0,41,98.4,2021
17280,0,1,42,0,16,54.0,2021
17281,1,1,83,0,47,20.0,2015
17293,1,1,84,0,14,19.0,2016
17294,1,1,210,0,44,65.0,2016
17312,0,2,13,0,26,30.152,2016
17338,1,0,0,0,10,31.8,2021
17347,0,1,37,0,49,21.9,2014
17354,1,1,84,0,36,51.0,2018
17366,1,1,233,0,41,58.6,2021
17381,0,2,6,0,39,18.0,2012
17392,0,2,19,0,20,14.5,2013
17395,1,1,125,0,11,32.0,2017
17404,0,2,20,0,22,46.5,2020
17406,1,0,0,0,28,35.9,2022
17416,0,2,22,0,14,25.0,2018
17418,0,2,16,0,16,18.86,2016
17419,1,1,192,0,32,119.8,2020
17458,1,1,93,0,44,11.4,2015
17461,0,1,32,0,37,29.49,2022
17462,0,2,14,0,24,38.0,2016
17463,1,1,200,0,25,65.0,2017
17476,1,1,93,31950,24,20.0,2016
17482,0,2,21,0,44,42.0,2019
17484,0,2,21,0,11,40.0,2021
17490,0,1,33,0,22,30.2,2017
